cuenta_id_legacy;empresa_id_legacy;codigo_legacy;nombre_legacy;concepto_canonico;preferida
1;1;999;VENTAS;VENTAS;0
2;1;1000;COMPRAS AL COSTO;COMPRAS AL COSTO;1
3;1;1001;CONBUSTIBLES;CONBUSTIBLES;1
4;1;1002;COMICION DE TARJETAS;COMICION DE TARJETAS;1
5;1;1003;HONORARIOS PROFEZIONALES;HONORARIOS PROFESIONALES;1
6;1;1004;COMBUSTIBLES Y LUBRICANTES;COMBUSTIBLES Y LUBRICANTES;0
7;1;1006;ALQUILER DE PROPIEDAD;ALQUILER DE PROPIEDAD;1
8;1;1005;ENERGIA, GAS, AGUA;ENERGIA, GAS, AGUA;1
9;1;1007;TV, TELEFONIA, COMUNICACIONES;TV, TELEFONIA, COMUNICACIONES;1
10;2;999;VENTAS;VENTAS;0
11;2;1000;COMPRAS AL COSTO;COMPRAS AL COSTO;1
12;2;1001;CONBUSTIBLES;CONBUSTIBLES;1
13;2;1002;COMICION DE TARJETAS;COMICION DE TARJETAS;1
14;2;1003;HONORARIOS PROFEZIONALES;HONORARIOS PROFESIONALES;1
15;2;1004;COMBUSTIBLES Y LUBRICANTES;COMBUSTIBLES Y LUBRICANTES;0
16;2;1006;ALQUILER DE PROPIEDAD;ALQUILER DE PROPIEDAD;1
17;2;1005;ENERGIA, GAS, AGUA;ENERGIA, GAS, AGUA;1
18;2;1007;TV, TELEFONIA, COMUNICACIONES;TV, TELEFONIA, COMUNICACIONES;1
21;3;999;VENTAS;VENTAS;0
22;3;1000;COMPRAS;COMPRAS;0
23;3;1001;GASTOS GENERALES;GASTOS GENERALES;0
24;3;1002;COMBUSTIBLES Y LUBRICANTES;COMBUSTIBLES Y LUBRICANTES;0
25;3;1003;ENERGIA ELECTRICA - SERV;ENERGIA ELECTRICA - SERV;1
26;3;1004;IMPRENTA Y PAPELERIA;LIBRERIA Y PAPELERIA;0
27;3;1006;AGUA - SERV;AGUA - SERV;1
28;3;1005;TELECOMUNIACIONES - SERV;TELECOMUNIACIONES - SERV;1
29;3;1007;GAS - SERV;GAS - SERV;1
30;1;1008;LOGISTICA Y FLETES;LOGISTICA Y FLETES;1
31;1;1009;GASTOS GENERALES;GASTOS GENERALES;0
32;3;1008;FLETES Y ACARREOS;FLETES Y CORREO;1
33;1;1010;BIENES DE USO;RODADOS - BIENES DE USO;0
34;3;1009;HONORARIOS PROFESIONALES;HONORARIOS PROFESIONALES;0
35;3;2000;Ventas;VENTAS;1
36;3;2001;Compras;COMPRAS;1
45;3;2007;Honorarios Profesionales;HONORARIOS PROFESIONALES;1
47;3;2011;Gastos Generales;GASTOS GENERALES;1
48;3;2006;Imprenta y Papeleria;LIBRERIA Y PAPELERIA;1
49;3;2003;Combustibles y Lubricantes;COMBUSTIBLES Y LUBRICANTES;1
