RUBRO_ID;RUBRO_NOMBRE;CODIGO_CLAE
1;Varios;
2;Cultivo de arroz;11111
3;Cultivo de trigo;11112
4;Cultivo de cereales n.c.p., excepto los de uso forrajero;11119
5;Cultivo de maíz;11121
6;Cultivo de cereales de uso forrajero n.c.p.;11129
7;Cultivo de pastos de uso forrajero;11130
8;Cultivo de soja;11211
9;Cultivo de girasol;11291
10;Cultivo de oleaginosas n.c.p. excepto soja y girasol;11299
11;Cultivo de papa, batata y mandioca;11310
12;Cultivo de tomate;11321
13;Cultivo de bulbos, brotes, raíces y hortalizas de fruto n.c.p.;11329
14;Cultivo de hortalizas de hoja y de otras hortalizas frescas;11331
15;Cultivo de legumbres frescas;11341
16;Cultivo de legumbres secas;11342
17;Cultivo de tabaco;11400
18;Cultivo de algodón;11501
19;Cultivo de plantas para la obtención de fibras n.c.p.;11509
20;Cultivo de flores;11911
21;Cultivo de plantas ornamentales;11912
22;Cultivos temporales n.c.p.;11990
23;Cultivo de vid para vinificar;12110
24;Cultivo de uva de mesa;12121
25;Cultivo de frutas cítricas;12200
26;Cultivo de manzana y pera;12311
27;Cultivo de frutas de pepita n.c.p.;12319
28;Cultivo de frutas de carozo;12320
29;Cultivo de frutas tropicales y subtropicales;12410
30;Cultivo de frutas secas;12420
31;Cultivo de frutas n.c.p.;12490
32;Cultivo de caña de azúcar;12510
33;Cultivo de plantas sacaríferas n.c.p.;12590
34;Cultivo de frutos oleaginosos;12600
35;Cultivo de yerba mate;12701
36;Cultivo de té y otras plantas cuyas hojas se utilizan para preparar infusiones;12709
37;Cultivo de especias y de plantas aromáticas y medicinales;12800
38;Cultivos perennes n.c.p.;12900
39;Producción de semillas híbridas de cereales y oleaginosas;13011
40;Producción de semillas varietales o autofecundadas de cereales, oleaginosas, y forrajeras;13012
41;Producción de semillas de hortalizas y legumbres, flores y plantas ornamentales y árboles frutales;13013
42;Producción de semillas de cultivos agrícolas n.c.p.;13019
43;Producción de otras formas de propagación de cultivos agrícolas;13020
44;Cría de ganado bovino, excepto la realizada en cabañas y para la producción de leche;14113
45;Invernada  de ganado bovino excepto el engorde en corrales (Feed-Lot);14114
46;Engorde en corrales (Feed-Lot);14115
47;Cría de ganado bovino realizada en cabañas;14121
48;Cría de ganado equino, excepto la realizada en haras;14211
49;Cría de camélidos;14300
50;Cría de ganado ovino -excepto en cabañas y para la  producción de lana y leche;14410
51;Cría de ganado ovino realizada en cabañas;14420
52;Cría de ganado caprino -excepto la realizada en cabañas y para producción de pelos y de leche;14430
53;Cría de ganado caprino realizada en cabañas;14440
54;Cría de ganado porcino, excepto la realizada en cabañas;14510
55;Cría de ganado porcino realizado en cabañas;14520
56;Producción de leche bovina;14610
57;Producción de leche de oveja y de cabra;14620
58;Producción de lana y pelo de oveja y cabra (cruda);14710
59;Producción de pelos de ganado n.c.p.;14720
60;Cría de aves de corral, excepto para la producción de huevos;14810
61;Producción de huevos;14820
62;Apicultura;14910
63;Cunicultura;14920
